DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball Set,Machine,DrawNumber
03-Apr-2019,9,26,5,35,52,17,6,Guinevere,2429
30-Mar-2019,35,45,27,3,55,54,7,Lancelot,2428
27-Mar-2019,25,39,35,18,50,13,8,Lancelot,2427
23-Mar-2019,59,50,26,52,6,30,5,Lancelot,2426
20-Mar-2019,58,35,53,56,2,19,7,Guinevere,2425
16-Mar-2019,59,37,6,42,32,26,8,Lancelot,2424
13-Mar-2019,29,48,46,40,1,11,5,Guinevere,2423
09-Mar-2019,46,22,35,27,40,52,7,Guinevere,2422
06-Mar-2019,2,12,46,53,43,15,6,Lancelot,2421
02-Mar-2019,4,8,16,19,45,33,7,Lancelot,2420
27-Feb-2019,51,54,19,31,20,22,5,Guinevere,2419
23-Feb-2019,42,48,40,38,9,6,8,Lancelot,2418
20-Feb-2019,33,3,17,11,41,51,6,Lancelot,2417
16-Feb-2019,51,15,18,43,11,46,5,Lancelot,2416
13-Feb-2019,42,45,26,31,4,8,8,Lancelot,2415
09-Feb-2019,36,27,31,47,25,38,7,Lancelot,2414
06-Feb-2019,44,53,3,16,24,41,6,Guinevere,2413
02-Feb-2019,59,1,55,53,6,41,6,Lancelot,2412
30-Jan-2019,58,47,7,43,22,31,8,Guinevere,2411
26-Jan-2019,42,47,29,56,40,51,7,Lancelot,2410
23-Jan-2019,58,41,5,45,30,27,5,Guinevere,2409
19-Jan-2019,11,52,22,17,31,15,8,Guinevere,2408
16-Jan-2019,54,44,48,12,55,1,7,Guinevere,2407
12-Jan-2019,13,49,55,43,32,29,2,Guinevere,2406
09-Jan-2019,57,36,51,17,3,42,5,Lancelot,2405
05-Jan-2019,28,32,18,25,47,27,4,Guinevere,2404
02-Jan-2019,8,40,53,35,10,9,1,Lancelot,2403
29-Dec-2018,40,57,45,26,31,38,3,Lancelot,2402
26-Dec-2018,7,14,58,45,54,35,2,Guinevere,2401
22-Dec-2018,32,24,15,4,17,56,4,Lancelot,2400
19-Dec-2018,12,33,56,34,24,39,1,Guinevere,2399
15-Dec-2018,43,34,5,35,26,49,4,Guinevere,2398
12-Dec-2018,51,46,59,31,3,22,3,Lancelot,2397
08-Dec-2018,36,6,48,38,23,43,2,Lancelot,2396
05-Dec-2018,1,13,45,56,6,23,2,Lancelot,2395
01-Dec-2018,49,5,8,9,12,31,1,Guinevere,2394
28-Nov-2018,39,52,45,46,48,36,3,Guinevere,2393
24-Nov-2018,32,43,30,42,27,15,4,Lancelot,2392
21-Nov-2018,46,53,24,35,31,42,1,Guinevere,2391
17-Nov-2018,12,4,5,9,42,17,3,Lancelot,2390
14-Nov-2018,4,11,20,48,53,45,4,Lancelot,2389
10-Nov-2018,7,38,17,12,44,42,2,Lancelot,2388
07-Nov-2018,46,4,59,9,5,40,1,Guinevere,2387
03-Nov-2018,45,16,52,47,41,31,2,Guinevere,2386
31-Oct-2018,28,24,20,45,5,14,3,Lancelot,2385
27-Oct-2018,26,39,31,6,1,25,1,Guinevere,2384
24-Oct-2018,9,40,22,32,59,51,2,Lancelot,2383
20-Oct-2018,46,12,59,40,18,42,4,Lancelot,2382
17-Oct-2018,5,20,51,1,6,54,3,Guinevere,2381
13-Oct-2018,58,52,40,19,26,56,1,Guinevere,2380
10-Oct-2018,54,10,56,50,49,53,4,Lancelot,2379
