No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN
2429, Wed,3,Apr,2019,5,9,17,26,35,52,44
2428, Sat,30,Mar,2019,3,27,35,45,54,55,24
2427, Wed,27,Mar,2019,13,18,25,35,39,50,21
2426, Sat,23,Mar,2019,6,26,30,50,52,59,27
2425, Wed,20,Mar,2019,2,19,35,53,56,58,12
2424, Sat,16,Mar,2019,6,26,32,37,42,59,38
2423, Wed,13,Mar,2019,1,11,29,40,46,48,17
2422, Sat,9,Mar,2019,22,27,35,40,46,52,2
2421, Wed,6,Mar,2019,2,12,15,43,46,53,17
2420, Sat,2,Mar,2019,4,8,16,19,33,45,54
2419, Wed,27,Feb,2019,19,20,22,31,51,54,16
2418, Sat,23,Feb,2019,6,9,38,40,42,48,57
2417, Wed,20,Feb,2019,3,11,17,33,41,51,48
2416, Sat,16,Feb,2019,11,15,18,43,46,51,12
2415, Wed,13,Feb,2019,4,8,26,31,42,45,55
2414, Sat,9,Feb,2019,25,27,31,36,38,47,12
2413, Wed,6,Feb,2019,3,16,24,41,44,53,15
2412, Sat,2,Feb,2019,1,6,41,53,55,59,20
2411, Wed,30,Jan,2019,7,22,31,43,47,58,2
2410, Sat,26,Jan,2019,29,40,42,47,51,56,45
2409, Wed,23,Jan,2019,5,27,30,41,45,58,38
2408, Sat,19,Jan,2019,11,15,17,22,31,52,45
2407, Wed,16,Jan,2019,1,12,44,48,54,55,8
2406, Sat,12,Jan,2019,13,29,32,43,49,55,26
2405, Wed,9,Jan,2019,3,17,36,42,51,57,18
2404, Sat,5,Jan,2019,18,25,27,28,32,47,6
2403, Wed,2,Jan,2019,8,9,10,35,40,53,21
2402, Sat,29,Dec,2018,26,31,38,40,45,57,28
2401, Wed,26,Dec,2018,7,14,35,45,54,58,1
2400, Sat,22,Dec,2018,4,15,17,24,32,56,31
2399, Wed,19,Dec,2018,12,24,33,34,39,56,38
2398, Sat,15,Dec,2018,5,26,34,35,43,49,19
2397, Wed,12,Dec,2018,3,22,31,46,51,59,53
2396, Sat,8,Dec,2018,6,23,36,38,43,48,17
2395, Wed,5,Dec,2018,1,6,13,23,45,56,41
2394, Sat,1,Dec,2018,5,8,9,12,31,49,57
2393, Wed,28,Nov,2018,36,39,45,46,48,52,38
2392, Sat,24,Nov,2018,15,27,30,32,42,43,10
2391, Wed,21,Nov,2018,24,31,35,42,46,53,9
2390, Sat,17,Nov,2018,4,5,9,12,17,42,32
2389, Wed,14,Nov,2018,4,11,20,45,48,53,16
2388, Sat,10,Nov,2018,7,12,17,38,42,44,53
2387, Wed,7,Nov,2018,4,5,9,40,46,59,58
2386, Sat,3,Nov,2018,16,31,41,45,47,52,53
2385, Wed,31,Oct,2018,5,14,20,24,28,45,21
2384, Sat,27,Oct,2018,1,6,25,26,31,39,56
2383, Wed,24,Oct,2018,9,22,32,40,51,59,17
2382, Sat,20,Oct,2018,12,18,40,42,46,59,49
2381, Wed,17,Oct,2018,1,5,6,20,51,54,56
2380, Sat,13,Oct,2018,19,26,40,52,56,58,38
2379, Wed,10,Oct,2018,10,49,50,53,54,56,4
2378, Sat,6,Oct,2018,23,26,30,32,37,39,5
2377, Wed,3,Oct,2018,3,5,11,25,27,45,18
2376, Sat,29,Sep,2018,17,36,40,44,54,58,27
2375, Wed,26,Sep,2018,3,8,37,39,47,59,42
2374, Sat,22,Sep,2018,5,16,18,20,25,55,36
2373, Wed,19,Sep,2018,7,20,25,26,34,40,59
2372, Sat,15,Sep,2018,25,42,48,50,55,58,44
2371, Wed,12,Sep,2018,11,12,13,14,54,56,36
2370, Sat,8,Sep,2018,7,19,33,34,52,53,48
2369, Wed,5,Sep,2018,12,18,22,23,48,59,47
2368, Sat,1,Sep,2018,3,21,22,38,46,55,50
2367, Wed,29,Aug,2018,19,23,30,50,51,54,55
2366, Sat,25,Aug,2018,9,22,33,39,41,56,48
2365, Wed,22,Aug,2018,15,20,21,25,34,47,36
2364, Sat,18,Aug,2018,1,2,6,12,13,55,11
2363, Wed,15,Aug,2018,3,28,34,41,48,58,54
2362, Sat,11,Aug,2018,1,3,10,18,19,37,57
2361, Wed,8,Aug,2018,8,19,20,27,31,34,7
2360, Sat,4,Aug,2018,5,17,23,25,34,51,52
2359, Wed,1,Aug,2018,15,17,18,34,46,54,4
2358, Sat,28,Jul,2018,11,29,31,32,38,45,10
2357, Wed,25,Jul,2018,5,19,20,23,30,43,6
2356, Sat,21,Jul,2018,9,13,16,25,40,46,52
2355, Wed,18,Jul,2018,22,34,44,49,51,53,33
2354, Sat,14,Jul,2018,4,8,13,26,41,55,58
2353, Wed,11,Jul,2018,8,11,17,25,33,46,13
2352, Sat,7,Jul,2018,17,18,29,48,52,54,1
2351, Wed,4,Jul,2018,8,13,22,46,52,58,7
2350, Sat,30,Jun,2018,6,28,32,45,46,49,50
2349, Wed,27,Jun,2018,4,41,45,54,57,58,26
2348, Sat,23,Jun,2018,1,10,15,25,31,47,53
2347, Wed,20,Jun,2018,15,22,26,35,41,43,1
2346, Sat,16,Jun,2018,10,18,36,37,41,46,8
2345, Wed,13,Jun,2018,5,15,22,33,38,45,11
2344, Sat,9,Jun,2018,3,17,20,55,56,58,57
2343, Wed,6,Jun,2018,12,22,31,35,42,58,55
2342, Sat,2,Jun,2018,4,32,38,43,51,58,10
2341, Wed,30,May,2018,4,5,8,26,32,39,16
2340, Sat,26,May,2018,9,14,19,29,39,40,3
2339, Wed,23,May,2018,1,15,17,32,36,45,5
2338, Sat,19,May,2018,1,3,34,36,48,52,22
2337, Wed,16,May,2018,4,22,26,32,48,54,57
