No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,,Delta Diff1,Delta Diff2,Delta Diff3,Delta Diff4,Delta Diff5,Delta Diff6,,,Guess1,Guess2,Guess3,Guess4,Guess5,Guess6,Sum,Check1,Check2,Check3,Check4,Check5,Check6
2429, Wed,3,Apr,2019,5,9,17,26,35,52,44,,5,4,8,9,9,17,,2,-20,0,-1,0,16,g1_lb,1,4,3,8,7,12,9,43,4,7,11,15,19,21
2428, Sat,30,Mar,2019,3,27,35,45,54,55,24,,3,24,8,10,9,1,,-10,19,1,0,5,-10,g1_ub,5,1,1,5,7,10,10,34,1,2,6,12,17,20
2427, Wed,27,Mar,2019,13,18,25,35,39,50,21,,13,5,7,10,4,11,,7,-15,3,-10,2,4,g2_lb,1,5,1,5,9,12,9,41,5,6,6,14,21,21
2426, Sat,23,Mar,2019,6,26,30,50,52,59,27,,6,20,4,20,2,7,,4,3,-12,2,-1,5,g2_ub,8,1,7,3,8,12,8,39,1,8,10,11,20,20
2425, Wed,20,Mar,2019,2,19,35,53,56,58,12,,2,17,16,18,3,2,,-4,-3,10,13,-2,-15,g3_lb,1,1,2,4,9,10,13,39,1,3,6,13,19,23
2424, Sat,16,Mar,2019,6,26,32,37,42,59,38,,6,20,6,5,5,17,,5,10,-12,-6,-1,15,g3_ub,8,4,4,6,7,13,9,43,4,8,10,13,20,22
2423, Wed,13,Mar,2019,1,11,29,40,46,48,17,,1,10,18,11,6,2,,-21,5,10,6,0,-4,g4_lb,7,4,3,8,9,13,15,52,4,7,11,17,22,28
2422, Sat,9,Mar,2019,22,27,35,40,46,52,2,,22,5,8,5,6,6,,20,-5,5,-23,3,-1,g4_ub,9,5,4,7,9,13,14,52,5,9,11,16,22,27
2421, Wed,6,Mar,2019,2,12,15,43,46,53,17,,2,10,3,28,3,7,,-2,6,-5,25,-11,-5,g5_lb,8,3,1,8,9,10,13,44,3,4,9,17,19,23
2420, Sat,2,Mar,2019,4,8,16,19,33,45,54,,4,4,8,3,14,12,,-15,3,6,-6,-6,9,g5_ub,16,1,2,3,7,10,8,31,1,3,5,10,17,18
2419, Wed,27,Feb,2019,19,20,22,31,51,54,16,,19,1,2,9,20,3,,13,-2,-27,7,18,-3,g6_lb,8,3,7,7,7,16,12,52,3,10,14,14,23,28
2418, Sat,23,Feb,2019,6,9,38,40,42,48,57,,6,3,29,2,2,6,,3,-5,23,-14,-6,-4,g6_ub,16,3,2,5,9,9,9,37,3,5,7,14,18,18
2417, Wed,20,Feb,2019,3,11,17,33,41,51,48,,3,8,6,16,8,10,,-8,4,3,-9,5,5,,,4,3,8,7,13,13,48,4,7,11,15,20,26
2416, Sat,16,Feb,2019,11,15,18,43,46,51,12,,11,4,3,25,3,5,,7,0,-15,20,-8,2,,,3,7,6,8,8,16,48,3,10,13,14,16,24
2415, Wed,13,Feb,2019,4,8,26,31,42,45,55,,4,4,18,5,11,3,,-21,2,14,0,9,-6,,,4,4,2,7,15,16,48,4,8,6,9,22,31
2414, Sat,9,Feb,2019,25,27,31,36,38,47,12,,25,2,4,5,2,9,,22,-11,-4,-12,-1,0,,,4,2,3,9,13,8,39,4,6,5,12,22,21
2413, Wed,6,Feb,2019,3,16,24,41,44,53,15,,3,13,8,17,3,9,,2,8,-27,5,1,5,,,2,4,3,8,13,15,45,2,6,7,11,21,28
2412, Sat,2,Feb,2019,1,6,41,53,55,59,20,,1,5,35,12,2,4,,-6,-10,26,0,-2,-7,,,1,1,6,8,11,15,42,1,2,7,14,19,26
2411, Wed,30,Jan,2019,7,22,31,43,47,58,2,,7,15,9,12,4,11,,-22,4,7,7,0,6,,,5,8,2,9,13,10,47,5,13,10,11,22,23
2410, Sat,26,Jan,2019,29,40,42,47,51,56,45,,29,11,2,5,4,5,,24,-11,-1,-6,0,-8,,,1,8,6,8,13,8,44,1,9,14,14,21,21
2409, Wed,23,Jan,2019,5,27,30,41,45,58,38,,5,22,3,11,4,13,,-6,18,1,6,-5,-8,,,5,7,7,9,14,8,50,5,12,14,16,23,22
2408, Sat,19,Jan,2019,11,15,17,22,31,52,45,,11,4,2,5,9,21,,10,-7,-30,1,3,20,,,2,7,8,9,13,11,50,2,9,15,17,22,24
2407, Wed,16,Jan,2019,1,12,44,48,54,55,8,,1,11,32,4,6,1,,-12,-5,29,-7,0,-5,,,4,1,4,8,9,16,42,4,5,5,12,17,25
2406, Sat,12,Jan,2019,13,29,32,43,49,55,26,,13,16,3,11,6,6,,10,2,-16,5,-3,0,,,3,7,6,9,15,8,48,3,10,13,15,24,23
2405, Wed,9,Jan,2019,3,17,36,42,51,57,18,,3,14,19,6,9,6,,-15,7,17,5,5,-9,,,5,2,1,8,13,15,44,5,7,3,9,21,28
2404, Sat,5,Jan,2019,18,25,27,28,32,47,6,,18,7,2,1,4,15,,10,6,1,-24,-1,2,,,1,6,6,8,12,16,49,1,7,12,14,20,28
2403, Wed,2,Jan,2019,8,9,10,35,40,53,21,,8,1,1,25,5,13,,-18,-4,-6,23,0,1,,,5,3,6,9,11,10,44,5,8,9,15,20,21
2402, Sat,29,Dec,2018,26,31,38,40,45,57,28,,26,5,7,2,5,12,,19,-2,-14,-8,-4,8,,,1,1,7,9,8,15,41,1,2,8,16,17,23
2401, Wed,26,Dec,2018,7,14,35,45,54,58,1,,7,7,21,10,9,4,,3,-4,19,3,1,-20,,,3,5,1,8,10,14,41,3,8,6,9,18,24
2400, Sat,22,Dec,2018,4,15,17,24,32,56,31,,4,11,2,7,8,24,,-8,-1,-7,6,3,7,,,5,3,5,8,10,12,43,5,8,8,13,18,22
2399, Wed,19,Dec,2018,12,24,33,34,39,56,38,,12,12,9,1,5,17,,7,-9,1,0,-3,11,,,5,5,1,7,8,15,41,5,10,6,8,15,23
2398, Sat,15,Dec,2018,5,26,34,35,43,49,19,,5,21,8,1,8,6,,2,2,-1,-14,3,-2,,,1,5,4,7,9,16,42,1,6,9,11,16,25
2397, Wed,12,Dec,2018,3,22,31,46,51,59,53,,3,19,9,15,5,8,,-3,2,-4,13,0,3,,,5,8,1,8,8,11,41,5,13,9,9,16,19
2396, Sat,8,Dec,2018,6,23,36,38,43,48,17,,6,17,13,2,5,5,,5,12,6,-8,-17,-6,,,3,4,8,7,15,10,47,3,7,12,15,22,25
2395, Wed,5,Dec,2018,1,6,13,23,45,56,41,,1,5,7,10,22,11,,-4,2,6,7,3,-7,,,2,7,2,7,14,15,47,2,9,9,9,21,29
2394, Sat,1,Dec,2018,5,8,9,12,31,49,57,,5,3,1,3,19,18,,-31,0,-5,2,17,14,,,5,4,3,8,14,9,43,5,9,7,11,22,23
2393, Wed,28,Nov,2018,36,39,45,46,48,52,38,,36,3,6,1,2,4,,21,-9,3,-1,-8,3,,,3,3,4,9,9,15,43,3,6,7,13,18,24
2392, Sat,24,Nov,2018,15,27,30,32,42,43,10,,15,12,3,2,10,1,,-9,5,-1,-5,6,-6,,,1,6,4,7,10,9,37,1,7,10,11,17,19
2391, Wed,21,Nov,2018,24,31,35,42,46,53,9,,24,7,4,7,4,7,,20,6,0,4,-1,-18,,,3,7,8,7,11,9,45,3,10,15,15,18,20
2390, Sat,17,Nov,2018,4,5,9,12,17,42,32,,4,1,4,3,5,25,,0,-6,-5,-22,2,20,,,5,6,8,7,12,10,48,5,11,14,15,19,22
2389, Wed,14,Nov,2018,4,11,20,45,48,53,16,,4,7,9,25,3,5,,-3,2,4,4,-1,3,,,2,2,7,8,15,8,42,2,4,9,15,23,23
2388, Sat,10,Nov,2018,7,12,17,38,42,44,53,,7,5,5,21,4,2,,3,4,1,-10,-2,-11,,,1,6,8,7,15,15,52,1,7,14,15,22,30
2387, Wed,7,Nov,2018,4,5,9,40,46,59,58,,4,1,4,31,6,13,,-12,-14,-6,27,4,8,,,3,4,3,8,14,14,46,3,7,7,11,22,28
2386, Sat,3,Nov,2018,16,31,41,45,47,52,53,,16,15,10,4,2,5,,11,6,4,0,-2,-12,,,5,8,3,8,8,14,46,5,13,11,11,16,22
2385, Wed,31,Oct,2018,5,14,20,24,28,45,21,,5,9,6,4,4,17,,4,4,-13,3,-1,9,,,4,2,5,8,9,12,40,4,6,7,13,17,21
2384, Sat,27,Oct,2018,1,6,25,26,31,39,56,,1,5,19,1,5,8,,-8,-8,9,-7,-6,0,,,4,6,2,9,16,9,46,4,10,8,11,25,25
2383, Wed,24,Oct,2018,9,22,32,40,51,59,17,,9,13,10,8,11,8,,-3,7,-12,6,7,-5,,,1,2,6,8,10,15,42,1,3,8,14,18,25
2382, Sat,20,Oct,2018,12,18,40,42,46,59,49,,12,6,22,2,4,13,,11,2,21,-12,-27,10,,,2,3,7,7,16,9,44,2,5,10,14,23,25
2381, Wed,17,Oct,2018,1,5,6,20,51,54,56,,1,4,1,14,31,3,,-18,-3,-13,2,27,1,,,4,5,1,9,8,15,42,4,9,6,10,17,23
2380, Sat,13,Oct,2018,19,26,40,52,56,58,38,,19,7,14,12,4,2,,9,-32,13,9,3,0,,,4,2,1,9,16,10,42,4,6,3,10,25,26
2379, Wed,10,Oct,2018,10,49,50,53,54,56,4,,10,39,1,3,1,2,,-13,36,-3,1,-4,0,,,4,8,6,9,12,10,49,4,12,14,15,21,22
2378, Sat,6,Oct,2018,23,26,30,32,37,39,5,,23,3,4,2,5,2,,20,1,-2,-12,3,-16,,,3,5,6,9,13,12,48,3,8,11,15,22,25
2377, Wed,3,Oct,2018,3,5,11,25,27,45,18,,3,2,6,14,2,18,,-14,-17,2,10,-8,14,,,1,5,8,7,9,10,40,1,6,13,15,16,19
2376, Sat,29,Sep,2018,17,36,40,44,54,58,27,,17,19,4,4,10,4,,14,14,-25,2,2,-8,,,3,6,5,9,15,12,50,3,9,11,14,24,27
2375, Wed,26,Sep,2018,3,8,37,39,47,59,42,,3,5,29,2,8,12,,-2,-6,27,0,3,-18,,,3,8,2,8,15,12,48,3,11,10,10,23,27
2374, Sat,22,Sep,2018,5,16,18,20,25,55,36,,5,11,2,2,5,30,,-2,-2,-3,1,-3,24,,,3,8,7,7,9,12,46,3,11,15,14,16,21
2373, Wed,19,Sep,2018,7,20,25,26,34,40,59,,7,13,5,1,8,6,,-18,-4,-1,-1,3,3,,,4,1,6,9,9,8,37,4,5,7,15,18,17
